Hand plotting file for f:\raft\samfinal.hul             05:54:18      03-15-2010
X in.         Y in.         X in-eights   Y in-eights   X mm          Y mm
stem.uc       __________    __________    __________    __________    __________
0.00          0.00          0-0/8         0-0/8         0.0           0.0
0.00          11.75         0-0/8         11-6/8        0.0           298.5
0.00          17.85         0-0/8         17-7/8        0.0           453.4
0.00          24.11         0-0/8         24-1/8        0.0           612.4
0.01          27.74         0-0/8         27-6/8        0.3           704.6
0.00          30.89         0-0/8         30-7/8        0.0           784.6
0.03          33.82         0-0/8         33-7/8        0.8           859.0
0.00          42.49         0-0/8         42-4/8        0.0           1079.2
-0.01         42.49         -0-0/8        42-4/8        -0.3          1079.2
-0.03         33.82         -0-0/8        33-7/8        -0.8          859.0
0.00          30.89         0-0/8         30-7/8        0.0           784.6
-0.01         27.74         -0-0/8        27-6/8        -0.3          704.6
0.00          24.11         0-0/8         24-1/8        0.0           612.4
0.00          17.85         0-0/8         17-7/8        0.0           453.4
-0.01         11.75         -0-0/8        11-6/8        -0.3          298.5
-0.01         0.00          -0-0/8        0-0/8         -0.3          0.0
0.00          0.00          0-0/8         0-0/8         0.0           0.0
transom.uc    __________    __________    __________    __________    __________
0.03          0.00          0-0/8         0-0/8         0.8           0.0
0.00          5.75          0-0/8         5-6/8         0.0           146.1
1.52          10.37         1-4/8         10-3/8        38.6          263.4
3.46          15.18         3-4/8         15-1/8        87.9          385.6
3.14          18.71         3-1/8         18-6/8        79.8          475.2
1.55          22.17         1-4/8         22-1/8        39.4          563.1
0.03          23.86         0-0/8         23-7/8        0.8           606.0
0.00          23.18         0-0/8         23-1/8        0.0           588.8
0.00          23.18         0-0/8         23-1/8        0.0           588.8
0.00          0.00          0-0/8         0-0/8         0.0           0.0
0.03          0.00          0-0/8         0-0/8         0.8           0.0
bhead1.uc     __________    __________    __________    __________    __________
0.00          1.60          0-0/8         1-5/8         0.0           40.6
1.99          2.86          1-8/8         2-7/8         50.5          72.6
5.05          4.84          5-0/8         4-7/8         128.3         122.9
7.92          10.19         7-7/8         10-2/8        201.2         258.8
7.65          14.48         7-5/8         14-4/8        194.3         367.8
5.55          18.93         5-4/8         18-7/8        141.0         480.8
3.14          21.03         3-1/8         21-0/8        79.8          534.2
0.00          21.79         0-0/8         21-6/8        0.0           553.5
0.00          21.79         0-0/8         21-6/8        0.0           553.5
0.00          1.60          0-0/8         1-5/8         0.0           40.6
0.00          1.60          0-0/8         1-5/8         0.0           40.6
bhead2.uc     __________    __________    __________    __________    __________
